"Time (s)","Velocity (m/s)","Gyroscope y (rad/s)"
3.293477158E0,6.081997226E-3,1.105817677E-1
3.334124432E0,1.453178740E-2,2.642143164E-1
3.374782491E0,2.349394089E-2,4.271625616E-1
3.415448050E0,2.456066370E-2,4.465575218E-1
3.456108670E0,2.729886591E-2,4.963430166E-1
3.496761952E0,2.561898721E-2,4.657997675E-1
3.537397456E0,8.778202721E-3,1.596036858E-1
3.578061610E0,3.041416648E-3,5.529848451E-2
3.618723360E0,1.252433230E-2,2.277151328E-1
3.659376095E0,1.134001775E-2,2.061821409E-1
3.700061098E0,1.252433251E-2,2.277151365E-1
3.740725595E0,1.202876805E-2,2.187048737E-1
3.781382044E0,7.325107497E-3,1.331837727E-1
3.822071671E0,1.511134547E-2,2.747517359E-1
3.862732117E0,-8.055058098E-4,-1.464556018E-2
3.903386284E0,-1.858702291E-2,-3.379458711E-1
3.944042288E0,-8.062582233E-3,-1.465924042E-1
3.984694290E0,-2.728967048E-3,-4.961758270E-2
4.025351851E0,2.932224435E-3,5.331317155E-2
4.066015867E0,5.460442039E-3,9.928076435E-2
4.106686089E0,4.057743270E-3,7.377715036E-2
4.147347844E0,-3.771367576E-4,-6.857031956E-3
4.188019137E0,-6.206316152E-3,-1.128421118E-1
4.228691759E0,-5.164791290E-3,-9.390529618E-2
4.269349904E0,-5.601559822E-3,-1.018465422E-1
4.310008547E0,-3.770491923E-3,-6.855439860E-2
4.350682817E0,-3.308525209E-3,-6.015500380E-2
4.391334993E0,7.483820547E-4,1.360694645E-2
4.431995338E0,-9.398960933E-4,-1.708901988E-2
4.472654883E0,-2.594576695E-3,-4.717412172E-2
4.513331731E0,1.201949347E-3,2.185362449E-2
4.553990109E0,1.243946289E-3,2.261720525E-2
4.594648012E0,8.575741653E-4,1.559225755E-2
4.635284876E0,-1.418661581E-3,-2.579384693E-2
4.675972524E0,1.016287014E-4,1.847794570E-3
4.716625833E0,1.042360817E-3,1.895201486E-2
4.757258832E0,9.247693006E-4,1.681398728E-2
4.797914847E0,-7.215119107E-4,-1.311839838E-2
4.838590639E0,-1.838631295E-3,-3.342965990E-2
4.879248140E0,1.840303256E-3,3.346005920E-2
4.919906855E0,1.571522638E-3,2.857313887E-2
4.960544449E0,1.260745064E-3,2.292263752E-2
5.001216787E0,3.167407529E-3,5.758922780E-2
5.041872885E0,2.293870529E-3,4.170673690E-2
5.082524320E0,-4.116098804E-5,-7.483816007E-4
5.123175778E0,1.495928110E-3,2.719869290E-2
5.163855344E0,2.512254757E-3,4.567735922E-2
5.204510223E0,2.554251745E-3,4.644094082E-2
5.245155901E0,2.016690534E-3,3.666710062E-2
5.285811459E0,1.789906904E-3,3.254376189E-2
5.326465794E0,1.621919054E-3,2.948943735E-2
5.367157151E0,4.460038561E-4,8.109161019E-3
5.407806223E0,-1.191877964E-3,-2.167050843E-2
5.448457995E0,-1.645445211E-3,-2.991718566E-2
5.489110148E0,-7.887070588E-4,-1.434012834E-2
5.529764602E0,8.239765800E-4,1.498139236E-2
5.570454617E0,2.696165750E-4,4.902119545E-3
5.611111218E0,8.743729451E-4,1.589768991E-2
5.651770267E0,6.391899186E-4,1.162163488E-2
5.692420538E0,-1.217076146E-3,-2.212865721E-2
5.733075459E0,-2.418189442E-3,-4.396708077E-2
5.773767328E0,-1.569850689E-3,-2.854273980E-2
5.814416257E0,-5.115270539E-4,-9.300491889E-3
5.855079198E0,-7.563412364E-6,-1.375165884E-4
5.895733669E0,-1.569850683E-3,-2.854273969E-2
5.936387484E0,-1.133082212E-3,-2.060149476E-2
5.977078152E0,1.218748069E-3,2.215905581E-2
6.017739707E0,1.294342639E-3,2.353350254E-2
6.058394728E0,-2.091488696E-4,-3.802706720E-3
6.099050520E0,-3.132137995E-3,-5.694796355E-2
6.139699607E0,-5.458770078E-3,-9.925036505E-2
6.180396007E0,-4.467641581E-3,-8.122984692E-2
6.221048243E0,-4.778419174E-3,-8.688034862E-2
6.261701195E0,-2.057015522E-3,-3.740028222E-2
6.302350206E0,1.109555994E-3,2.017374535E-2
6.343013977E0,2.907026301E-3,5.285502365E-2
6.383663230E0,3.847758509E-3,6.995924562E-2
6.424318974E0,4.360121461E-3,7.927493565E-2
6.464975889E0,3.595776607E-3,6.537775649E-2
6.505631377E0,1.697513570E-3,3.086388309E-2
6.546286865E0,-9.146979636E-4,-1.663087207E-2
6.586943738E0,-2.695369502E-3,-4.900671821E-2
6.627633783E0,-2.544180406E-3,-4.625782557E-2
6.668276325E0,-9.818931133E-4,-1.785260206E-2
6.708941047E0,2.528177951E-4,4.596687184E-3
6.749591597E0,1.311141461E-3,2.383893565E-2
6.790273947E0,1.521126273E-3,2.765684132E-2
6.830930310E0,7.483820419E-4,1.360694622E-2
6.871579242E0,-1.503531114E-4,-2.733692934E-3
6.912230733E0,-8.978991886E-4,-1.632543979E-2
6.952915930E0,-1.637045847E-3,-2.976446995E-2
6.993569711E0,-2.166207668E-3,-3.938559396E-2
7.034219935E0,-9.986918996E-4,-1.815803454E-2
7.074878244E0,3.200129401E-4,5.818417092E-3
7.115542770E0,1.605120223E-3,2.918400406E-2
7.156218141E0,2.268672334E-3,4.124858789E-2
7.196874599E0,1.109555975E-3,2.017374500E-2
7.237523394E0,-1.839506855E-4,-3.344557917E-3
7.278177228E0,-1.200277366E-3,-2.182322484E-2
7.318838660E0,-2.468585833E-3,-4.488337878E-2
7.359493764E0,-2.023417962E-3,-3.678941750E-2
7.400146985E0,-6.291185640E-4,-1.143851934E-2
7.440801961E0,4.712020434E-4,8.567309880E-3
7.481487950E0,1.747909929E-3,3.178018052E-2
7.522143054E0,1.521126298E-3,2.765684179E-2
7.562810790E0,2.999419628E-3,5.453490233E-2
7.603470073E0,9.013385652E-3,1.638797391E-1
7.644134387E0,1.753877040E-2,3.188867345E-1
7.684791502E0,2.889475100E-2,5.253591090E-1
7.725469077E0,4.287134279E-2,7.794789597E-1
7.766124693E0,6.181197390E-2,1.123854071E0
7.806797124E0,8.624581173E-2,1.568105668E0
7.847444959E0,1.107132468E-1,2.012968123E0
7.888098548E0,1.325852722E-1,2.410641313E0
7.928773398E0,1.542557062E-1,2.804649204E0
7.969424930E0,1.777572131E-1,3.231949329E0
8.010082026E0,2.049712493E-1,3.726749986E0
8.050737221E0,2.337643719E-1,4.250261307E0
8.091390972E0,2.633050433E-1,4.787364423E0
8.132047756E0,2.943911925E-1,5.352567136E0
8.172703651E0,3.297106448E-1,5.994738996E0
8.213390168E0,3.667351735E-1,6.667912245E0
8.254030622E0,4.026845819E-1,7.321537852E0
8.294698917E0,4.451602921E-1,8.093823493E0
8.335351679E0,4.935239983E-1,8.973163605E0
8.376002802E0,5.400566447E-1,9.819211721E0
8.416667232E0,5.664895332E-1,1.029980969E1
8.457315352E0,5.770727712E-1,1.049223220E1
8.497981549E0,5.748553264E-1,1.045191503E1
8.538640947E0,5.661787611E-1,1.029415929E1
8.579297682E0,5.524877566E-1,1.004523194E1
8.619962215E0,5.429208368E-1,9.871287942E0
8.660607733E0,5.480024672E-1,9.963681221E0
8.701277899E0,5.603831792E-1,1.018878508E1
8.741934406E0,5.834143138E-1,1.060753298E1
8.782614459E0,6.125770122E-1,1.113776386E1
8.823279127E0,6.507438457E-1,1.183170629E1
8.863941979E0,6.936731583E-1,1.261223924E1
8.904619846E0,7.450858420E-1,1.354701531E1
8.945288399E0,7.956334072E-1,1.446606195E1
8.985933357E0,8.120206195E-1,1.476401126E1
9.026622504E0,8.049315298E-1,1.463511872E1
9.067273343E0,7.799769247E-1,1.418139863E1
9.107931067E0,7.583232999E-1,1.378769636E1
9.148613531E0,7.566098148E-1,1.375654209E1
9.189267881E0,7.701328349E-1,1.400241518E1
9.229915587E0,8.025461072E-1,1.459174740E1
9.270602344E0,8.473316664E-1,1.540603030E1
9.311263754E0,8.977952689E-1,1.632355034E1
9.351914237E0,9.608327448E-1,1.746968627E1
9.392595797E0,9.823015809E-1,1.786002874E1
9.433248009E0,9.636885381E-1,1.752160978E1
9.473895198E0,9.269075739E-1,1.685286498E1
9.514548841E0,9.039184403E-1,1.643488073E1
9.555206378E0,9.073285997E-1,1.649688363E1
9.595870005E0,9.373480439E-1,1.704269171E1
9.636525078E0,9.811088598E-1,1.783834291E1
9.677182157E0,1.040181817E0,1.891239667E1
9.717832621E0,1.094349507E0,1.989726377E1
9.758497108E0,1.092358845E0,1.986106992E1
9.799172924E0,1.051386606E0,1.911612010E1
9.839817106E0,1.010926731E0,1.838048601E1
9.880476125E0,1.005021937E0,1.827312613E1
9.921115867E0,1.029212184E0,1.871294880E1
9.961803752E0,1.079793345E0,1.963260627E1
1.000245873E1,1.144569470E0,2.081035399E1
1.004310437E1,1.192538412E0,2.168251657E1
1.008378427E1,1.171262743E0,2.129568624E1
1.012443831E1,1.112550998E0,2.022819996E1
1.016508914E1,1.080524094E0,1.964589262E1
1.020574068E1,1.085110177E0,1.972927594E1
1.024638962E1,1.124301734E0,2.044184971E1
1.028707922E1,1.186314460E0,2.156935382E1
1.032773506E1,1.250149844E0,2.272999716E1
1.036838300E1,1.240498961E0,2.255452657E1
1.040903572E1,1.180964046E0,2.147207355E1
1.044972380E1,1.135817301E0,2.065122366E1
1.049036916E1,1.136573241E0,2.066496801E1
1.053102929E1,1.171245946E0,2.129538083E1
1.057169324E1,1.233754239E0,2.243189526E1
1.061236840E1,1.296111339E0,2.356566072E1
1.065301789E1,1.271223938E0,2.311316252E1
1.069367880E1,1.206876203E0,2.194320369E1
1.073436355E1,1.172816637E0,2.132393885E1
1.077500437E1,1.173312191E0,2.133294892E1
1.081566417E1,1.210143561E0,2.200261021E1
1.085631698E1,1.278271021E0,2.324129128E1
1.089695918E1,1.320965132E0,2.401754785E1
1.093761586E1,1.272164667E0,2.313026667E1
1.097830962E1,1.198283581E0,2.178697419E1
1.101896360E1,1.169708863E0,2.126743388E1
1.105962194E1,1.178964978E0,2.143572688E1
1.110026740E1,1.216560668E0,2.211928487E1
1.114093363E1,1.294481863E0,2.353603387E1
1.118158721E1,1.306576986E0,2.375594521E1
1.122223429E1,1.249755089E0,2.272281981E1
1.126290160E1,1.184231417E0,2.153148031E1
1.130358925E1,1.161527859E0,2.111868834E1
1.134425192E1,1.184550588E0,2.153728342E1
1.138490706E1,1.231318417E0,2.238760757E1
1.142556155E1,1.293381536E0,2.351602793E1
1.146622164E1,1.281840779E0,2.330619597E1
1.150686855E1,1.214452435E0,2.208095336E1
1.154753048E1,1.149903086E0,2.090732884E1
1.158819872E1,1.136892438E0,2.067077160E1
1.162885166E1,1.160855895E0,2.110647082E1
1.166951599E1,1.204742714E0,2.190441298E1
1.171018749E1,1.260682682E0,2.292150331E1
1.175085463E1,1.246218953E0,2.265852642E1
1.179150493E1,1.175353246E0,2.137005901E1
1.183216324E1,1.125091282E0,2.045620513E1
1.187282578E1,1.107964915E0,2.014481664E1
1.191347652E1,1.132986698E0,2.059975815E1
1.195414604E1,1.109518795E0,2.017306900E1
1.199480292E1,9.308049083E-1,1.692372561E1
1.203545989E1,8.165479100E-1,1.484632564E1
1.207615060E1,7.472025001E-1,1.358550000E1
1.211680328E1,6.991411704E-1,1.271165764E1
1.215746728E1,6.545235890E-1,1.190042889E1
1.219812231E1,5.628190017E-1,1.023307276E1
1.223878633E1,5.254332978E-1,9.553332686E0
1.227944323E1,4.727774930E-1,8.595954418E0
1.232011780E1,4.399610838E-1,7.999292433E0
1.236077531E1,4.031129515E-1,7.329326391E0
1.240141415E1,3.844159001E-1,6.989380002E0
1.244207194E1,3.917233676E-1,7.122243047E0
1.248272388E1,3.507259342E-1,6.376835167E0
1.252340778E1,1.719280307E-1,3.125964195E0
1.256406356E1,8.022344807E-2,1.458608147E0
1.260472097E1,-1.306862077E-2,-2.376112868E-1
1.264537838E1,-1.987212999E-2,-3.613114543E-1
1.268605548E1,2.713840243E-3,4.934254987E-2
1.272671191E1,2.554251770E-3,4.644094128E-2
1.276737322E1,3.200129497E-4,5.818417267E-3
1.280802764E1,-2.040216730E-3,-3.709484963E-2
1.284867849E1,-3.745293664E-3,-6.809624843E-2
1.288932896E1,-2.191405863E-3,-3.984374297E-2
1.292999503E1,1.336339631E-3,2.429708419E-2
1.297065102E1,1.336339599E-3,2.429708361E-2
1.301131471E1,-1.460658569E-3,-2.655742853E-2
1.305197385E1,2.948147623E-4,5.360268406E-3
1.309262954E1,-1.099484614E-3,-1.999062934E-2
1.313328821E1,-3.182534373E-3,-5.786426133E-2
1.317397992E1,3.536105141E-4,6.429282075E-3
1.321463633E1,-2.436220180E-5,-4.429491237E-4
1.325528968E1,-3.603379586E-4,-6.551599246E-3
1.329596134E1,-1.755513003E-4,-3.191841824E-3
1.333661602E1,-2.847434365E-4,-5.177153391E-3
1.337727658E1,-1.267472492E-3,-2.304495440E-2
1.341793966E1,-4.023349402E-4,-7.315180730E-3
1.345859379E1,-1.251549320E-4,-2.275544219E-3
1.349926644E1,-7.563413965E-6,-1.375166175E-4
1.353992065E1,-7.563420368E-6,-1.375167340E-4
1.358057394E1,-2.436220340E-5,-4.429491528E-4
1.362123353E1,9.235369071E-6,1.679158013E-4
1.366189286E1,9.235369071E-6,1.679158013E-4
1.370255952E1,8.359775529E-7,1.519959187E-5
1.374321936E1,1.763476379E-5,3.206320689E-4
1.378388730E1,9.235372272E-6,1.679158595E-4
1.382454752E1,9.235369071E-6,1.679158013E-4
1.386520775E1,9.235370671E-6,1.679158304E-4
1.390587364E1,8.359743515E-7,1.519953366E-5
1.394653425E1,9.235369071E-6,1.679158013E-4
1.398720052E1,1.763476219E-5,3.206320398E-4
1.402787308E1,-2.436220500E-5,-4.429491819E-4
1.406853447E1,1.763476379E-5,3.206320689E-4
1.410919882E1,-4.116099124E-5,-7.483816589E-4
1.414985484E1,9.235370671E-6,1.679158304E-4
1.419051820E1,9.235370671E-6,1.679158304E-4
1.423115152E1,-1.596281189E-5,-2.902329434E-4
1.427181964E1,-7.563418767E-6,-1.375167049E-4
1.431247644E1,8.359775529E-7,1.519959187E-5
1.435313380E1,1.763476379E-5,3.206320689E-4
1.439380352E1,2.603415531E-5,4.733482783E-4
1.443445980E1,9.235370671E-6,1.679158304E-4
1.447511306E1,9.235370671E-6,1.679158304E-4
1.451578011E1,-1.596281189E-5,-2.902329434E-4
1.455644356E1,-6.635917060E-5,-1.206530374E-3
1.459710500E1,-5.795977748E-5,-1.053814136E-3
1.463775727E1,-7.475856371E-5,-1.359246613E-3
1.467841279E1,-8.315795683E-5,-1.511962852E-3
1.471907287E1,-9.155735315E-5,-1.664679148E-3
1.475973653E1,-7.475856371E-5,-1.359246613E-3
1.480040136E1,-4.116099124E-5,-7.483816589E-4
1.484105801E1,-7.475856371E-5,-1.359246613E-3
1.488172136E1,-7.563417166E-6,-1.375166757E-4
1.492237760E1,-3.276159812E-5,-5.956654204E-4
1.496302545E1,-7.563418767E-6,-1.375167049E-4
1.500369316E1,-2.436220340E-5,-4.429491528E-4
1.504435696E1,1.763476379E-5,3.206320689E-4
1.508502399E1,8.359743515E-7,1.519953366E-5
1.512565916E1,9.235369071E-6,1.679158013E-4
1.516635473E1,8.359775529E-7,1.519959187E-5
1.520697901E1,8.359743515E-7,1.519953366E-5
1.524764579E1,8.359743515E-7,1.519953366E-5
1.528830600E1,-7.563418767E-6,-1.375167049E-4
1.532897429E1,9.235370671E-6,1.679158304E-4
1.536963034E1,-7.563418767E-6,-1.375167049E-4
1.541031260E1,-7.563418767E-6,-1.375167049E-4
1.545094126E1,9.235369071E-6,1.679158013E-4
1.549159557E1,8.359759522E-7,1.519956277E-5
1.553225835E1,3.443355003E-5,6.260645459E-4
1.557291725E1,9.235370671E-6,1.679158304E-4
1.561359608E1,-4.116098964E-5,-7.483816298E-4
1.565425748E1,3.443355003E-5,6.260645459E-4
1.569494326E1,9.235369071E-6,1.679158013E-4
1.573561342E1,-1.596281028E-5,-2.902329143E-4
1.577627987E1,8.359743515E-7,1.519953366E-5
1.581694674E1,-2.436220500E-5,-4.429491819E-4
1.585761107E1,2.603415691E-5,4.733483074E-4
1.589826894E1,-1.596281189E-5,-2.902329434E-4
1.593892725E1,-7.563417166E-6,-1.375166757E-4
1.597959186E1,-4.116099124E-5,-7.483816589E-4
1.602023955E1,8.359775529E-7,1.519959187E-5
1.606090527E1,8.359743515E-7,1.519953366E-5
1.610157352E1,8.359743515E-7,1.519953366E-5
1.614225967E1,9.235369071E-6,1.679158013E-4
1.618292745E1,8.359743515E-7,1.519953366E-5
1.622357321E1,1.763476219E-5,3.206320398E-4
1.626421163E1,-7.563418767E-6,-1.375167049E-4
1.630484766E1,-7.563415566E-6,-1.375166466E-4
1.634550344E1,5.963173418E-5,1.084213349E-3
1.638613909E1,8.359759522E-7,1.519956277E-5
1.642680690E1,9.235369071E-6,1.679158013E-4
1.646744255E1,9.235369071E-6,1.679158013E-4
1.650810482E1,1.763476379E-5,3.206320689E-4
1.654877097E1,2.603415691E-5,4.733483074E-4
1.658944449E1,-7.563415566E-6,-1.375166466E-4
1.663011849E1,-7.563418767E-6,-1.375167049E-4
1.667079285E1,2.603415531E-5,4.733482783E-4
1.671144282E1,1.763476379E-5,3.206320689E-4
1.675212027E1,8.359775529E-7,1.519959187E-5
1.679277466E1,-1.596281189E-5,-2.902329434E-4
1.683344548E1,-7.563418767E-6,-1.375167049E-4
1.687410894E1,-7.563418767E-6,-1.375167049E-4
1.691477748E1,9.235367470E-6,1.679157722E-4
1.695543652E1,-2.436220340E-5,-4.429491528E-4
1.699609291E1,8.359759522E-7,1.519956277E-5
1.703676584E1,9.235367470E-6,1.679157722E-4
1.707743281E1,2.603415531E-5,4.733482783E-4
1.711806824E1,-7.563417166E-6,-1.375166757E-4
1.715873978E1,-7.563418767E-6,-1.375167049E-4
1.719941049E1,-7.563418767E-6,-1.375167049E-4
1.724006755E1,9.235370671E-6,1.679158304E-4
1.728073344E1,-2.436220500E-5,-4.429491819E-4
1.732137066E1,1.763476379E-5,3.206320689E-4
1.736203476E1,-2.436220500E-5,-4.429491819E-4
1.740269895E1,-1.596281189E-5,-2.902329434E-4
1.744336177E1,-1.596281028E-5,-2.902329143E-4
1.748402584E1,1.763476219E-5,3.206320398E-4
1.752469016E1,1.763476219E-5,3.206320398E-4
1.756532174E1,8.359759522E-7,1.519956277E-5
1.760598568E1,1.763476379E-5,3.206320689E-4
1.764664261E1,8.359743515E-7,1.519953366E-5
1.768730616E1,-1.596281189E-5,-2.902329434E-4
1.772795377E1,-7.563418767E-6,-1.375167049E-4
1.776861498E1,2.603415531E-5,4.733482783E-4
1.780928773E1,8.359743515E-7,1.519953366E-5
1.784994922E1,9.235367470E-6,1.679157722E-4
1.789060189E1,8.359759522E-7,1.519956277E-5
1.793126519E1,-1.596281189E-5,-2.902329434E-4
1.797193195E1,8.359743515E-7,1.519953366E-5
1.801259300E1,-2.436220500E-5,-4.429491819E-4
1.805325837E1,-1.596281189E-5,-2.902329434E-4
1.809394992E1,8.359759522E-7,1.519956277E-5
1.813460752E1,-3.276159812E-5,-5.956654204E-4
1.817526754E1,-4.956038276E-5,-9.010978683E-4
1.821592663E1,-7.563418767E-6,-1.375167049E-4
1.825658151E1,-1.596281189E-5,-2.902329434E-4
1.829724594E1,-1.596281028E-5,-2.902329143E-4
1.833791131E1,8.359759522E-7,1.519956277E-5
1.837859648E1,8.359743515E-7,1.519953366E-5
1.841925521E1,-7.563417166E-6,-1.375166757E-4
1.845991061E1,-1.596281189E-5,-2.902329434E-4
1.850057031E1,9.235367470E-6,1.679157722E-4
1.854122689E1,8.359759522E-7,1.519956277E-5
1.858190999E1,9.235370671E-6,1.679158304E-4
1.862257278E1,8.359743515E-7,1.519953366E-5
1.866322821E1,1.763476059E-5,3.206320107E-4
1.870388161E1,8.359759522E-7,1.519956277E-5
1.874454305E1,-7.563417166E-6,-1.375166757E-4
1.878519640E1,9.235367470E-6,1.679157722E-4
1.882584837E1,-2.436220500E-5,-4.429491819E-4
1.886653405E1,8.359759522E-7,1.519956277E-5
1.890718882E1,8.359759522E-7,1.519956277E-5
1.894784498E1,-2.436220500E-5,-4.429491819E-4
1.898849336E1,-1.596281189E-5,-2.902329434E-4
1.902918774E1,-2.436220500E-5,-4.429491819E-4
1.906982579E1,-7.563418767E-6,-1.375167049E-4
1.911048650E1,1.763476219E-5,3.206320398E-4
1.915114377E1,9.235367470E-6,1.679157722E-4
1.919177856E1,-1.596281028E-5,-2.902329143E-4
1.923246298E1,-7.563418767E-6,-1.375167049E-4
1.927312495E1,2.603415851E-5,4.733483365E-4
1.931377990E1,9.235369071E-6,1.679158013E-4
1.935445747E1,-7.563418767E-6,-1.375167049E-4
1.939510069E1,8.359743515E-7,1.519953366E-5
1.943576410E1,4.283294635E-5,7.787808427E-4
1.947643349E1,3.443355163E-5,6.260645750E-4
1.951709669E1,1.763476059E-5,3.206320107E-4
1.955775368E1,1.252546179E-5,2.277356689E-4
1.959839563E1,1.299547846E-5,2.362814266E-4
1.963907783E1,4.596082144E-6,8.356512990E-5
1.967972590E1,-3.803310974E-6,-6.915110862E-5
1.972039291E1,-3.803310974E-6,-6.915110862E-5
1.976104529E1,4.596083745E-6,8.356515900E-5
1.980171957E1,-3.803309373E-6,-6.915107951E-5
1.984237456E1,1.299547526E-5,2.362813684E-4
1.988302587E1,-1.220270249E-5,-2.218673180E-4
1.992368388E1,1.299547526E-5,2.362813684E-4
1.996434438E1,1.299547526E-5,2.362813684E-4
2.000498992E1,1.299547526E-5,2.362813684E-4
2.004563704E1,4.596083745E-6,8.356515900E-5
2.008632566E1,2.139487158E-5,3.889976651E-4
2.012697915E1,-3.803310974E-6,-6.915110862E-5
2.016763062E1,1.299547846E-5,2.362814266E-4
2.020829043E1,-1.220270409E-5,-2.218673471E-4
2.024893888E1,1.299547686E-5,2.362813975E-4
2.028960667E1,4.596083745E-6,8.356515900E-5
2.033026735E1,4.659305254E-5,8.471464098E-4
2.037094722E1,1.299547526E-5,2.362813684E-4
2.041159311E1,2.139486838E-5,3.889976069E-4
2.045225751E1,2.139487318E-5,3.889976942E-4
2.049291711E1,-3.803309373E-6,-6.915107951E-5
2.053356721E1,2.979426470E-5,5.417139037E-4
2.057422460E1,1.299547846E-5,2.362814266E-4
2.061488377E1,-1.220270409E-5,-2.218673471E-4
2.065554063E1,4.596082144E-6,8.356512990E-5
2.069620385E1,3.819365942E-5,6.944301713E-4
2.073686036E1,3.819366102E-5,6.944302004E-4
2.077754120E1,1.299547686E-5,2.362813975E-4
2.081821845E1,2.979426470E-5,5.417139037E-4
2.085886448E1,2.139486998E-5,3.889976360E-4
2.089952308E1,2.139487318E-5,3.889976942E-4
2.094017767E1,4.596082144E-6,8.356512990E-5
2.098083964E1,4.596082144E-6,8.356512990E-5
2.102150641E1,-3.803310974E-6,-6.915110862E-5
2.106216129E1,1.299547846E-5,2.362814266E-4
2.110283088E1,4.596082144E-6,8.356512990E-5
2.114351634E1,1.299547846E-5,2.362814266E-4
2.118417950E1,4.596082144E-6,8.356512990E-5
2.122484149E1,-3.803310974E-6,-6.915110862E-5
2.126549400E1,4.596083745E-6,8.356515900E-5
2.130615803E1,4.596083745E-6,8.356515900E-5
2.134683693E1,4.596082144E-6,8.356512990E-5
2.138749359E1,-3.803310974E-6,-6.915110862E-5
2.142815253E1,-2.060209561E-5,-3.745835565E-4
2.146879924E1,1.299547686E-5,2.362813975E-4
2.150946300E1,-3.803310974E-6,-6.915110862E-5
2.155015305E1,2.979426310E-5,5.417138746E-4
2.159080408E1,-1.220270249E-5,-2.218673180E-4
2.163146783E1,4.596082144E-6,8.356512990E-5
2.167211917E1,4.596082144E-6,8.356512990E-5
2.171277997E1,2.979426310E-5,5.417138746E-4
2.175343355E1,4.596083745E-6,8.356515900E-5
2.179409895E1,2.979426310E-5,5.417138746E-4
2.183478016E1,-1.220270409E-5,-2.218673471E-4
2.187543017E1,1.299547686E-5,2.362813975E-4
2.191607437E1,2.139487158E-5,3.889976651E-4
2.195673216E1,1.299547526E-5,2.362813684E-4
2.199740047E1,4.596083745E-6,8.356515900E-5
2.203805031E1,3.819365942E-5,6.944301713E-4
2.207870076E1,1.299547686E-5,2.362813975E-4
2.211935507E1,-3.803310974E-6,-6.915110862E-5
2.216003495E1,-3.803307773E-6,-6.915105041E-5
2.220069223E1,1.299547686E-5,2.362813975E-4
2.224135077E1,4.596082144E-6,8.356512990E-5
2.228201265E1,1.299547846E-5,2.362814266E-4
2.232266261E1,1.299548007E-5,2.362814557E-4
2.236331942E1,-2.060209721E-5,-3.745835857E-4
2.240397697E1,4.596082144E-6,8.356512990E-5
2.244463381E1,-3.803309373E-6,-6.915107951E-5
2.248530471E1,1.299547526E-5,2.362813684E-4
2.252596100E1,1.299547526E-5,2.362813684E-4
2.256662757E1,4.596082144E-6,8.356512990E-5
2.260729386E1,-1.220270409E-5,-2.218673471E-4
2.264794453E1,-2.060209721E-5,-3.745835857E-4
2.268860227E1,2.139486998E-5,3.889976360E-4
2.272925699E1,-1.220270409E-5,-2.218673471E-4
2.276988620E1,4.596083745E-6,8.356515900E-5
2.281054335E1,2.139486998E-5,3.889976360E-4
2.285118390E1,1.299547686E-5,2.362813975E-4
2.289184157E1,1.299548007E-5,2.362814557E-4
2.293250823E1,2.979426310E-5,5.417138746E-4
2.297316602E1,4.596082144E-6,8.356512990E-5
2.301382407E1,-3.803309373E-6,-6.915107951E-5
2.305449598E1,2.979426470E-5,5.417139037E-4
2.309515454E1,-4.580027657E-5,-8.327323012E-4
2.313582120E1,4.596085346E-6,8.356518811E-5
2.317650651E1,4.596085346E-6,8.356518811E-5
2.321716532E1,4.596082144E-6,8.356512990E-5
2.325783403E1,1.299547526E-5,2.362813684E-4
2.329849349E1,1.299547686E-5,2.362813975E-4
2.333915785E1,-2.900148873E-5,-5.272997951E-4
2.337981756E1,2.139486998E-5,3.889976360E-4
2.342050377E1,-3.803310974E-6,-6.915110862E-5
2.346116710E1,1.299547846E-5,2.362814266E-4
2.350182720E1,-3.803310974E-6,-6.915110862E-5
2.354248318E1,3.819365942E-5,6.944301713E-4
2.358314315E1,-3.803309373E-6,-6.915107951E-5
